A,B,C,E,F,n_blocks,first_D,last_D,example_path
,Long Tom_at Monroe to Willamette+Long Tom,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_at Monroe to Willamette+Long Tom/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore/Flow/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore,Flow-IN-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore/Flow-IN-UNREG/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore,Flow-ROUTING-Fern Ridge-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore/Flow-ROUTING-Fern Ridge-1/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore to Long Tom+Amazon Cr,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore to Long Tom+Amazon Cr/Flow/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore to Long Tom+Amazon Cr,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore to Long Tom+Amazon Cr/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore to Long Tom+Amazon Cr,Flow-ROUTING-Fern Ridge-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore to Long Tom+Amazon Cr/Flow-ROUTING-Fern Ridge-1/01Jan2012/1Day/Temp1Day--0/
,Long Tom_nr Alvadore to Long Tom+Amazon Cr,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Long Tom_nr Alvadore to Long Tom+Amazon Cr/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,Flow-GC-RELEASE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/Flow-GC-RELEASE/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/RULEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point Local Inflow_HMSsub_MFWillametteRV_S60,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point Local Inflow_HMSsub_MFWillametteRV_S60/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point Local Inflow_HMSsub_MFWillametteRV_S60,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point Local Inflow_HMSsub_MFWillametteRV_S60/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point Local Inflow_HMSsub_MFWillametteRV_S60,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point Local Inflow_HMSsub_MFWillametteRV_S60/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,Flow-BackQ,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/Flow-BackQ/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,Flow-Pulse,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/Flow-Pulse/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/RULEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/RULEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam L&O IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam L&O IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam Tailwater,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam Tailwater/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam Tailwater,Flow-CUMLOC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam Tailwater/Flow-CUMLOC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam Tailwater,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam Tailwater/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam Tailwater,Flow-ROUTING-Lookout Point-1,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam Tailwater/Flow-ROUTING-Lookout Point-1/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam Tailwater,Flow-UNREG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam Tailwater/Flow-UNREG/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam-BiOp MinTrib and Withdrawals by WY,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam-BiOp MinTrib and Withdrawals by WY/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam-BiOp MinTrib and Withdrawals by WY-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam-BiOp MinTrib and Withdrawals by WY-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam-Max Evacuation Release,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam-Max Evacuation Release/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Dam-Max Evacuation Release-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Dam-Max Evacuation Release-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Deep Drawdown,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Deep Drawdown/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Deep Drawdown-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Deep Drawdown-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Draft to RC,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Draft to RC/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Draft to RC-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Draft to RC-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-FIRO_SPACE,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-FIRO_SPACE/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-FIRO_SPACE-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-FIRO_SPACE-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Flood Min,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Flood Min/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Flood Min-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Flood Min-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Harrisburg Regulation Goal Simplified,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Harrisburg Regulation Goal Simplified/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Harrisburg Regulation Goal Simplified-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Harrisburg Regulation Goal Simplified-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-IRRM,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-IRRM/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-IRRM-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-IRRM-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Inactive,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Inactive/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Inactive,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Inactive/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max,Coeff-ROUTE-LAG,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max/Coeff-ROUTE-LAG/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max,Coeff-ROUTE-MAXOFFSET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max/Coeff-ROUTE-MAXOFFSET/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max,Coeff-ROUTE-MINOFFSET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max/Coeff-ROUTE-MINOFFSET/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max,Stor-BAL,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max/Stor-BAL/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max-Final,Coeff-BAL-INDEX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max-Final/Coeff-BAL-INDEX/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Jasper Bankfull Max-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Jasper Bankfull Max-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Lookout Point-Inactive-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Lookout Point-Inactive-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Lookout Point-Inactive-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Lookout Point-Inactive-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Lookout Point-Rule Curve-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Lookout Point-Rule Curve-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Lookout Point-Rule Curve-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Lookout Point-Rule Curve-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Lookout Point-Top of Dam-ZBOp Rule,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Lookout Point-Top of Dam-ZBOp Rule/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Lookout Point-Top of Dam-ZBOp Rule-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Lookout Point-Top of Dam-ZBOp Rule-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-MainstemFlowAug,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-MainstemFlowAug/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-MainstemFlowAug-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-MainstemFlowAug-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Min for DEX,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Min for DEX/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Min for DEX-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Min for DEX-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-NoDraft,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-NoDraft/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-NoDraft-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-NoDraft-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Area-Reservoir,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Area-Reservoir/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Elev,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Elev/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Elev-EST,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Elev-EST/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Flow-EST,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Flow-EST/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Flow-HOLDOUT,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Flow-HOLDOUT/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Flow-IN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Flow-IN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Flow-IN NET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Flow-IN NET/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Flow-OUT,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Flow-OUT/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Flow-Q2S,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Flow-Q2S/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Stor,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Stor/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Stor-PUMP,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Stor-PUMP/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Pool,Stor-PUMP-CAP,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Pool/Stor-PUMP-CAP/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/RULEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Power Plant IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Power Plant IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-ROC Down,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-ROC Down/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-ROC Down-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-ROC Down-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-ROC Up,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-ROC Up/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-ROC Up-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-ROC Up-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/RULEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet-No RO use above 900 ft,Flow-MAX,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet-No RO use above 900 ft/Flow-MAX/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Regulated Outlet-No RO use above 900 ft-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Regulated Outlet-No RO use above 900 ft-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Rule Curve,Elev-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Rule Curve/Elev-ZONE/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Rule Curve,Stor-ZONE,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Rule Curve/Stor-ZONE/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Secondary Flood Draft Limit,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Secondary Flood Draft Limit/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Secondary Flood Draft Limit-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Secondary Flood Draft Limit-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Special Curves,Elev,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Special Curves/Elev/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Special Curves,Flow-IN NET,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Special Curves/Flow-IN NET/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Special Curves,Flow-MIN,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Special Curves/Flow-MIN/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Special Curves-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Special Curves-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,CONSTRAINTID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/CONSTRAINTID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,Flow-DECISION,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/Flow-DECISION/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,Flow-MAXLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/Flow-MAXLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,Flow-MINLIM,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/Flow-MINLIM/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,Flow-SETTING,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/Flow-SETTING/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,RULEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/RULEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway,ZONEID,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway/ZONEID/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spillway IN,Flow,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spillway IN/Flow/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spring Spill,Flow-SPEC,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spring Spill/Flow-SPEC/01Jan2012/1Day/Temp1Day--0/
,Lookout Point-Spring Spill-P,Penalty-PRIORITY,1Day,Temp1Day--0,5,01Jan2012,01Jan2016,//Lookout Point-Spring Spill-P/Penalty-PRIORITY/01Jan2012/1Day/Temp1Day--0/
